Feature,Coefficient
subscription_length,0.3603087632048072
region_code_C8,0.13643206154911855
region_code_C3,0.08503479137370111
region_code_C2,0.07419449067521756
region_code_C14,0.07050587840105084
region_code_C18,0.045653549434313316
region_code_C19,0.033066822442389746
region_code_C13,0.025309929789162095
region_code_C22,0.022816449737758072
region_code_C5,0.021660265536713505
region_code_C6,0.018501697756015584
region_code_C21,0.015626583998860587
region_code_C4,0.014134873326304821
region_density,0.011564715550180295
model_M2,0.008957505463423845
engine_type_1.2 L K12N Dualjet,0.008957505463423845
max_torque_200Nm@3000rpm,0.008830313490801904
model_M5,0.008830313490801904
max_power_88.77bhp@4000rpm,0.008830313490801904
engine_type_1.5 Turbocharged Revotorq,0.008830313490801904
region_code_C7,0.008368658992408273
is_parking_sensors,0.007998817212062515
is_speed_alert,0.006466424148592554
customer_age,0.005897776064270483
engine_type_1.2 L K Series Engine,0.005363868872554401
model_M7,0.005363868872554401
region_code_C20,0.004937008631745275
segment_B2,0.0045938481890690904
max_power_88.50bhp@6000rpm,0.004117089096017726
is_adjustable_steering,0.0038569215680658896
engine_type_F8D Petrol Engine,0.003764056404818418
max_power_40.36bhp@6000rpm,0.003764056404818418
max_torque_60Nm@3500rpm,0.003764056404818418
cylinder,0.003585784339400853
rear_brakes_type_Drum,0.0021319523461772526
is_esc,0.0020384368892958555
region_code_C16,0.0015688783318544546
is_power_steering,0.0010573752549458456
is_brake_assist,0.0009607506029003402
is_front_fog_lights,0.0009195775074390754
is_rear_window_defogger,0.0008673350992848662
segment_C1,0.0006599552918120507
airbags,0.0006421763560257636
is_rear_window_wiper,0.0005659158976383786
is_rear_window_washer,0.0005659158976383786
width,0.0004136065986880537
transmission_type_Manual,0.00030278366945688944
fuel_type_Diesel,-1.6215406790533987e-05
is_driver_seat_height_adjustable,-0.00010765293896937525
gross_weight,-0.0002166397779022774
displacement,-0.0003334366282092329
fuel_type_Petrol,-0.0004392746852550174
is_day_night_rear_view_mirror,-0.0004811176566711763
length,-0.0007047150267574619
segment_Utility,-0.001057375254946208
model_M10,-0.001057375254946208
max_torque_85Nm@3000rpm,-0.001057375254946208
steering_type_Manual,-0.001057375254946208
max_power_61.68bhp@6000rpm,-0.001057375254946208
engine_type_G12B,-0.001057375254946208
engine_type_K Series Dual jet,-0.0010976382552920266
model_M6,-0.0010976382552920266
steering_type_Power,-0.0021177861776108062
model_M4,-0.0021319523461772526
max_torque_250Nm@2750rpm,-0.0021319523461772526
segment_C2,-0.0021319523461772526
engine_type_1.5 L U2 CRDi,-0.0021319523461772526
is_tpms,-0.0021319523461772526
is_parking_camera,-0.0024257182206858774
model_M9,-0.002858666720726797
engine_type_i-DTEC,-0.002858666720726797
max_torque_200Nm@1750rpm,-0.002858666720726797
max_power_97.89bhp@3600rpm,-0.002858666720726797
turning_radius,-0.00306824747924405
ncap_rating,-0.0032506315664042494
is_power_door_locks,-0.0033369993862391854
is_central_locking,-0.0033369993862391854
is_ecw,-0.0033369993862391854
engine_type_K10C,-0.0049405238004029736
model_M8,-0.0049405238004029736
max_power_55.92bhp@5300rpm,-0.0049405238004029736
segment_B1,-0.0049405238004029736
max_torque_82.1Nm@3400rpm,-0.0049405238004029736
region_code_C11,-0.006256262979068896
max_power_118.36bhp@5500rpm,-0.0064664241485924805
engine_type_1.5 Turbocharged Revotron,-0.0064664241485924805
model_M11,-0.0064664241485924805
max_torque_170Nm@4000rpm,-0.0064664241485924805
max_power_67.06bhp@5500rpm,-0.007998817212062711
max_torque_91Nm@4250rpm,-0.007998817212062711
model_M3,-0.007998817212062711
region_code_C12,-0.02341831785176092
region_code_C17,-0.037038869977612826
region_code_C10,-0.040303610492411275
region_code_C15,-0.04380634413810005
region_code_C9,-0.04471654964609875
vehicle_age,-0.2544459389653341
