Feature,Importance
subscription_length,0.3086433616714918
vehicle_age,0.297126647411388
customer_age,0.2838231689065504
region_density,0.02163913748970742
region_code_C8,0.008179330424646766
region_code_C2,0.004000657428896686
region_code_C5,0.003927515798384345
region_code_C9,0.0034113533527122893
region_code_C3,0.0032223189238647764
region_code_C7,0.0030612762569359893
region_code_C13,0.0030277184649240164
region_code_C10,0.0027515991044175527
region_code_C14,0.0027461851624460006
region_code_C19,0.0027132343374173824
region_code_C12,0.002616991357871016
region_code_C11,0.002232692533989988
displacement,0.0021816075332356417
length,0.0021559584779203035
region_code_C6,0.002004115205110809
region_code_C15,0.0019974588101615443
region_code_C4,0.00197933745192157
gross_weight,0.0017983831902452555
turning_radius,0.0016846738979646265
max_torque_60Nm@3500rpm,0.0016758357632453353
width,0.0016735884625165116
engine_type_F8D Petrol Engine,0.0016126524097515385
max_power_40.36bhp@6000rpm,0.0014407789132322467
region_code_C17,0.0013719057942528404
ncap_rating,0.0013564000704251841
region_code_C16,0.0013057769505621765
region_code_C21,0.0012279485996779626
region_code_C18,0.0010805502963928998
is_ecw,0.001029479975278198
is_power_door_locks,0.0010182556611636293
cylinder,0.000976144875288763
is_central_locking,0.0009125976961212115
region_code_C22,0.000860133791238694
region_code_C20,0.0006166771514935425
is_adjustable_steering,0.0005925304064976933
steering_type_Power,0.0005186029844413071
transmission_type_Manual,0.0005043487097681233
is_rear_window_defogger,0.0005037662312057981
model_M6,0.0004942311846083047
segment_B2,0.00047093491364955554
airbags,0.00045856158493586175
fuel_type_Petrol,0.0004447452723135102
is_day_night_rear_view_mirror,0.0004344356155873116
is_brake_assist,0.0004336954296265707
is_parking_camera,0.00043342426541844744
is_esc,0.00042293108044662043
engine_type_K Series Dual jet,0.00041479748839086346
max_power_88.50bhp@6000rpm,0.00037576757477318553
segment_C1,0.0003602301633761306
is_rear_window_wiper,0.00034837414943122806
is_front_fog_lights,0.00034496849788992354
is_driver_seat_height_adjustable,0.00031834750350539967
is_rear_window_washer,0.0003107162607792251
max_power_55.92bhp@5300rpm,0.00029024799254212416
model_M2,0.00028225671850619816
engine_type_1.2 L K12N Dualjet,0.00027464102473976953
fuel_type_Diesel,0.0002742352119797219
model_M7,0.0002729355137875972
engine_type_1.2 L K Series Engine,0.0002561772629019565
engine_type_K10C,0.00022771319021705702
model_M8,0.00022595691593518753
max_torque_82.1Nm@3400rpm,0.00021343024258478754
max_torque_200Nm@3000rpm,0.00020234618117955696
segment_B1,0.00020172551069659966
model_M5,0.00019443948111122722
max_power_88.77bhp@4000rpm,0.0001911598679845098
model_M4,0.00018684962691732174
segment_C2,0.00018550570419280894
max_power_67.06bhp@5500rpm,0.00017523790166516792
max_torque_250Nm@2750rpm,0.0001741630362257177
rear_brakes_type_Drum,0.00016995670722293375
engine_type_1.5 Turbocharged Revotorq,0.00016092228954777278
max_power_97.89bhp@3600rpm,0.00015280242509263615
engine_type_G12B,0.00014453230746580746
is_parking_sensors,0.0001433828617005258
model_M3,0.00014055294221437123
engine_type_i-DTEC,0.00013756302068929842
engine_type_1.5 L U2 CRDi,0.0001349769284222448
is_tpms,0.00013429142137739492
max_power_61.68bhp@6000rpm,0.00013422741456987612
max_torque_200Nm@1750rpm,0.00013161089328306443
segment_Utility,0.00013136131876631432
is_power_steering,0.00012709572500982057
model_M9,0.00012225211829117115
max_torque_85Nm@3000rpm,0.00012046119487598499
steering_type_Manual,0.00011850691413561449
max_torque_91Nm@4250rpm,0.00011789177631856832
engine_type_1.5 Turbocharged Revotron,0.00011414052646685354
max_torque_170Nm@4000rpm,0.00010149315491926833
is_speed_alert,9.823339762801722e-05
max_power_118.36bhp@5500rpm,9.520456423821663e-05
model_M11,8.636959005581401e-05
model_M10,8.429020505124014e-05
